,R2,R3,R5,R6,R7,R8
005522.OF,14.19,7.76,24.35,24.35,24.36,6.9
005523.OF,6.91,1.71,24.57,24.57,24.58,1.7
005552.OF,19.16,6.08,29.66,29.66,29.67,4.69
005579.OF,12.75,3.23,20.95,20.95,20.98,3.74
005652.OF,10.02,2.87,28.75,28.75,28.75,3.05
005656.OF,7.86,3.04,25.3,25.3,25.3,3.55
005664.OF,9.09,4.28,25.65,25.65,25.67,3.93
005678.OF,11.01,4.52,25.35,25.33,25.35,2.8
005679.OF,19.22,7.63,26.13,26.13,26.13,8.11
005686.OF,11.95,6.58,27.45,27.46,27.47,3.93
005706.OF,7.25,3.48,27.45,27.44,27.45,3.56
005746.OF,13.51,7.13,35.43,35.43,35.43,7.91
005750.OF,15.38,5.9,31.05,31.04,31.04,2.77
005823.OF,8.35,3,30.89,30.89,30.89,2.32
005843.OF,10.67,2.69,20.22,20.21,20.22,3.68
005886.OF,13.72,5.35,28.02,28.02,28.02,5.67
005906.OF,15.8,4.82,25.41,25.4,25.41,3.99
005943.OF,16.95,4.89,30.01,30,30.01,4.77
006004.OF,9.45,3.1,22.17,22.17,22.17,1.77
006059.OF,4.47,1.72,20.88,20.88,20.88,2.64
006061.OF,14.17,3.97,27.1,27.07,27.07,6.86
006114.OF,11.7,5.37,24.28,24.28,24.28,4.75
006140.OF,14.15,4.02,28.29,28.29,28.29,4.21
006174.OF,8.14,2.99,21.4,21.38,21.4,3.72
006188.OF,18.49,3.76,26.05,25.97,26.03,4.53
006207.OF,13.14,3.32,25.67,25.67,25.67,4.83
006353.OF,7.76,3.77,20.85,20.81,20.83,3.78
006398.OF,12.93,5.59,24.64,24.66,24.7,6.32
006459.OF,13.17,4.13,27.63,27.6,27.6,3.1
006466.OF,10.27,4.22,23.22,23.21,23.22,4.63
006500.OF,27.86,5.56,33.07,33.07,33.07,5.1
006535.OF,26.89,9.47,27.33,27.33,27.33,9.09
006638.OF,27.62,10.83,37.37,37.24,37.31,8.45
006654.OF,14.19,6.71,24.95,24.9,24.95,6.84
006738.OF,15.99,5.75,27.56,27.55,27.55,7.86
006832.OF,6.94,2.2,27,27,27,3.93
006839.OF,15.35,5.49,29.56,29.55,29.56,4.11
006854.OF,14.72,3.12,20.36,20.09,20.38,4.54
006896.OF,19.7,7.48,19.65,19.62,19.63,4.69
006952.OF,8.92,3.38,30.04,30.04,30.04,3.14
006973.OF,9.1,2.75,24.99,24.99,24.99,2.8
006974.OF,11.68,3.97,31.06,31,31.06,3.14
007128.OF,10.87,5.17,27.44,27.43,27.44,4.12
007266.OF,18.93,9.4,28.56,28.56,28.56,11.77
007282.OF,16.32,5.63,21.17,21.17,21.18,5.27
007318.OF,7.91,2.77,31.94,31.88,31.91,3.58
007385.OF,10.63,4.66,26.32,26.31,26.31,4.59
007415.OF,8.92,2.46,29.95,29.96,30,3.16
